x,f,g,h
0.99,1.02349e-16,9.9584e-17,1e-16
0.9902,7.97973e-17,8.51099e-17,8.50763e-17
0.9904,8.1532e-17,7.3021e-17,7.2139e-17
0.9906,6.07153e-17,6.05527e-17,6.09569e-17
0.9908,5.37764e-17,5.71375e-17,5.13219e-17
0.991,3.98986e-17,4.29886e-17,4.30467e-17
0.9912,3.81639e-17,3.81639e-17,3.59635e-17
0.9914,3.1225e-17,3.06287e-17,2.99218e-17
0.9916,2.08167e-17,2.17925e-17,2.47876e-17
0.9918,1.73472e-17,2.16298e-17,2.04414e-17
0.992,5.20417e-18,1.64257e-17,1.67772e-17
0.9922,1.9082e-17,1.2631e-17,1.37011e-17
0.9924,5.20417e-18,1.19262e-17,1.11303e-17
0.9926,1.38778e-17,6.66784e-18,8.99195e-18
0.9928,0,4.8247e-18,7.22204e-18
0.993,1.38778e-17,4.11997e-18,5.7648e-18
0.9932,1.73472e-18,4.8247e-18,4.57163e-18
0.9934,6.93889e-18,2.60209e-18,3.60041e-18
0.9936,3.46945e-18,2.00577e-18,2.81475e-18
0.9938,5.20417e-18,4.2826e-18,2.1834e-18
0.994,-3.46945e-18,9.75782e-19,1.67962e-18
0.9942,0,2.71051e-18,1.28063e-18
0.9944,5.20417e-18,-8.67362e-19,9.67173e-19
0.9946,3.46945e-18,4.22839e-18,7.2302e-19
0.9948,1.73472e-18,-4.44523e-18,5.34597e-19
0.995,5.20417e-18,5.42101e-20,3.90625e-19
0.9952,-5.20417e-18,-5.42101e-19,2.81793e-19
0.9954,3.46945e-18,1.02999e-18,2.00476e-19
0.9956,-3.46945e-18,-1.19262e-18,1.40482e-19
0.9958,0,6.50521e-19,9.68265e-20
0.996,-3.46945e-18,3.08998e-18,6.5536e-20
0.9962,-5.20417e-18,-6.50521e-19,4.34779e-20
0.9964,0,-1.73472e-18,2.82111e-20
0.9966,0,2.98156e-18,1.78579e-20
0.9968,-3.46945e-18,3.52366e-18,1.09951e-20
0.997,-8.67362e-18,2.71051e-19,6.561e-21
0.9972,-3.46945e-18,-1.19262e-18,3.77802e-21
0.9974,-6.93889e-18,-3.57787e-18,2.08827e-21
0.9976,1.73472e-18,4.8247e-18,1.10075e-21
0.9978,1.73472e-18,-5.42101e-19,5.48759e-22
0.998,-3.46945e-18,-2.81893e-18,2.56e-22
0.9982,3.46945e-18,-4.33681e-18,1.102e-22
0.9984,3.46945e-18,2.6563e-18,4.29497e-23
0.9986,0,2.6563e-18,1.47579e-23
0.9988,1.73472e-18,5.42101e-20,4.29982e-24
0.999,3.46945e-18,5.20417e-18,1e-24
0.9992,0,2.1684e-18,1.67772e-25
0.9994,1.73472e-18,3.25261e-19,1.67962e-26
0.9996,-1.73472e-18,-3.90313e-18,6.5536e-28
0.9998,-3.46945e-18,-1.84314e-18,2.56e-30
1,0,0,0
1.0002,0,-3.90313e-18,2.56e-30
1.0004,-5.20417e-18,-2.38524e-18,6.5536e-28
1.0006,1.73472e-18,-4.01155e-18,1.67962e-26
1.0008,-1.73472e-18,3.03577e-18,1.67772e-25
1.001,6.93889e-18,-1.95156e-18,1e-24
1.0012,3.46945e-18,2.87314e-18,4.29982e-24
1.0014,-5.20417e-18,-2.38524e-18,1.47579e-23
1.0016,0,-2.38524e-18,4.29497e-23
1.0018,0,-7.58942e-19,1.102e-22
1.002,0,-6.50521e-19,2.56e-22
1.0022,-8.67362e-18,9.21572e-19,5.48759e-22
1.0024,-1.73472e-18,4.33681e-19,1.10075e-21
1.0026,5.20417e-18,-8.67362e-19,2.08827e-21
1.0028,3.46945e-18,-4.33681e-19,3.77802e-21
1.003,0,8.13152e-19,6.561e-21
1.0032,-1.73472e-18,3.95734e-18,1.09951e-20
1.0034,-3.46945e-18,-3.03577e-18,1.78579e-20
1.0036,3.46945e-18,-1.0842e-19,2.82111e-20
1.0038,1.73472e-18,-1.19262e-18,4.34779e-20
1.004,3.46945e-18,2.49366e-18,6.5536e-20
1.0042,0,3.25261e-19,9.68265e-20
1.0044,-3.46945e-18,3.25261e-19,1.40482e-19
1.0046,-5.20417e-18,1.57209e-18,2.00476e-19
1.0048,-1.73472e-18,-1.40946e-18,2.81793e-19
1.005,1.73472e-18,-1.73472e-18,3.90625e-19
1.0052,3.46945e-18,2.1684e-18,5.34597e-19
1.0054,0,5.42101e-19,7.2302e-19
1.0056,-1.73472e-18,1.73472e-18,9.67173e-19
1.0058,3.46945e-18,-7.58942e-19,1.28063e-18
1.006,-3.46945e-18,-1.51788e-18,1.67962e-18
1.0062,8.67362e-18,3.63208e-18,2.1834e-18
1.0064,0,9.21572e-19,2.81475e-18
1.0066,5.20417e-18,1.19262e-18,3.60041e-18
1.0068,3.46945e-18,2.98156e-18,4.57163e-18
1.007,8.67362e-18,8.45678e-18,5.7648e-18
1.0072,8.67362e-18,7.37257e-18,7.22204e-18
1.0074,1.21431e-17,9.05309e-18,8.99195e-18
1.0076,8.67362e-18,1.00289e-17,1.11303e-17
1.0078,1.9082e-17,1.47451e-17,1.37011e-17
1.008,2.25514e-17,1.74014e-17,1.67772e-17
1.0082,1.38778e-17,2.17925e-17,2.04414e-17
1.0084,2.42861e-17,2.77014e-17,2.47876e-17
1.0086,3.29597e-17,2.78098e-17,2.99218e-17
1.0088,3.46945e-17,3.54534e-17,3.59635e-17
1.009,4.33681e-17,4.32597e-17,4.30467e-17
1.0092,5.55112e-17,5.31801e-17,5.13219e-17
1.0094,6.07153e-17,5.95227e-17,6.09569e-17
1.0096,7.11237e-17,7.13947e-17,7.2139e-17
1.0098,8.32667e-17,8.46762e-17,8.50763e-17
1.01,1.05818e-16,9.99634e-17,1e-16
